name,category,description,retail_price,bulk_price,bulk_min_qty
C15-47-5 Bowl 7-Inch Black-Edge,kitchen,"7-inch ceramic bowl with black-edge rim design. Suitable for noodles soups and main-course servings.",40,15,36
C15-47-6 Bowl 9.5-Inch,kitchen,"9.5-inch large ceramic bowl for generous servings of noodles salads and soups. Durable glazed finish.",100,36,16
C15-47-7 Dish 8-Pearl-Dot,kitchen,"Ceramic side dish with 8-pearl-dot embossed border. Suitable for condiments snacks and side servings.",20,8,60
C15-47-8 Pumpkin Bowl Medium-Large,kitchen,"Medium-large ceramic pumpkin-shaped bowl for soups and servings. Decorative design for everyday and occasion use.",40,14,40
C15-47-9 Bowl 9-Pearl-Dot,kitchen,"Ceramic bowl with 9-pearl-dot embossed pattern. Suitable for rice noodles and everyday dining.",40,14,40
C15-47-10 Bowl 8-Pearl-Dot,kitchen,"Ceramic bowl with 8-pearl-dot embossed rim design. Versatile size for rice soup cereal and daily use.",35,13,40
C15-47-11 Printed Fruit Plate,kitchen,"Ceramic plate with printed fruit pattern design. Suitable for snacks desserts and light meals.",35,13,60
C15-47-12 Bowl 7-Inch Aviation Style,kitchen,"7-inch ceramic bowl with aviation-style design. Lightweight feel and durable glaze for everyday dining.",20,8,60
C15-47-13 Bowl 6-Inch Deep,kitchen,"6-inch deep ceramic bowl suitable for soups cereals and side dishes. Standard daily-use glaze finish.",20,7,80
C15-47-14 Plate 10-Inch Embossed,kitchen,"10-inch ceramic plate with embossed floral relief border. Suitable for main courses and everyday family dining.",35,12,36
C15-47-15 Large Bullet Cup,kitchen,"Large ceramic bullet-shaped cup for tea coffee and hot beverages. Sturdy glaze finish for daily use.",25,9,48
C15-47-16 Small Bullet Cup,kitchen,"Small ceramic bullet-shaped cup for espresso tea and hot drinks. Compact size for everyday use.",20,7,72
C15-47-17 16-Piece Stoneware Dinnerware Set,kitchen,"16-piece stoneware dinnerware set including plates bowls and mugs. Durable finish for family everyday dining.",670,240,2
C15-47-18 White Cup Set 48-Pack,kitchen,"White ceramic cup for tea coffee and hot beverages. Classic plain design suitable for home office and hospitality.",30,11,72
C15-47-19 White Cup Set 48-Pack (variant),kitchen,"White ceramic cup with standard round design for tea and coffee. Plain glaze finish for home and café use.",30,11,72
C15-47-20 Gold-Rim Cup,kitchen,"Ceramic cup with gold-rim accent for tea coffee and hot drinks. Elegant finish for home or gift use.",30,11,48
C15-47-21 Colored Glaze Cup,kitchen,"Ceramic cup with coloured glaze finish available in assorted colours. Suitable for hot and cold beverages.",25,9,48
C15-47-23 Ceramic Cup,kitchen,"Plain ceramic cup for everyday tea and coffee use. Smooth glaze finish and comfortable handle for daily drinking.",30,11,72
C15-47-24 Fired Glaze Cup,kitchen,"Ceramic cup with fired-glaze decorative pattern. Suitable for hot beverages and everyday home or café use.",30,11,48
C15-47-25 Fired Glaze Cup (variant),kitchen,"Ceramic cup with fired-glaze design in alternate pattern. For hot beverages and everyday home use.",30,11,48
C15-47-26 Fired Glaze Cup RX-6,kitchen,"Ceramic cup with RX-6 fired-glaze decoration. Suitable for hot beverages in home or hospitality settings.",30,11.5,72
C15-47-27 Ceramic Cup (large),kitchen,"Larger ceramic cup for tea coffee and hot beverages. Smooth glaze and sturdy handle for comfortable daily use.",35,12,48
C15-47-28 Hand-Painted Plate,kitchen,"Ceramic plate with hand-painted decorative design. Suitable for serving snacks desserts and light meals.",30,10.5,30
C15-47-29 Double-Plate Set 10.5-Inch,kitchen,"10.5-inch two-person ceramic plate set. Matching plates with decorative design for everyday paired dining.",30,11,30
C16-21-4 Happy Every Day Water Bottle,kitchen,"Plastic water bottle with Happy Every Day print. Leak-proof lid and comfortable grip for daily hydration.",90,33,50
C16-21-5 Luck Bear Cup,kitchen,"Cute bear-themed plastic drinking cup with lid. Compact and leak-resistant for kids and on-the-go use.",75,26,80
C16-21-7 GF095 Water Bottle,kitchen,"Single-wall plastic water bottle with secure screw cap. Lightweight for daily hydration at home or gym.",50,18,80
C16-21-8 GF094 Water Bottle,kitchen,"Single-wall plastic water bottle with secure cap. Slim and lightweight for everyday water intake.",50,17,80
C16-21-11 3-Piece GH5373 Diamond Water Bottle Set,kitchen,"Set of 3 diamond-textured plastic water bottles. Matching set for home gym and office hydration.",160,58,48
C16-21-12 GH69958 Vacuum Coffee Cup,kitchen,"Temperature-displaying vacuum insulated coffee cup. Keeps beverages hot or cold with digital temperature readout.",110,40,50
C16-21-13 GH699781 Car Cup,kitchen,"Stainless steel vacuum-insulated car cup designed to fit standard vehicle cup holders. Keeps drinks hot or cold.",180,65,25
C16-21-14 Black Car Cup,kitchen,"Black stainless steel vacuum-insulated car cup for hot and cold beverages. Fits standard car cup holders.",180,65,25
C16-21-15 White Car Cup,kitchen,"White stainless steel vacuum-insulated travel cup for beverages. Fits standard vehicle cup holders.",180,65,25
C16-21-16 900ml Handle Cup,kitchen,"900ml plastic handle cup with secure lid for large hydration needs. Comfortable grip handle for home gym and office.",140,50,50
C16-21-17 800ml Sport Bottle,kitchen,"800ml insulated sport bottle with leak-proof lid. Keeps beverages cold or warm during workouts and outdoor activities.",150,52,50
C16-21-18 1000ml Sport Bottle,kitchen,"1000ml large-capacity insulated sport bottle for extended hydration. Suitable for gym hiking and outdoor sports.",160,56,50
C16-40-32 6-Piece Professional Wrench Set,tools,"6-piece combination wrench set for automotive and mechanical work. Chrome-vanadium steel for durability.",110,40,40
C16-40-75 Electric Soldering Iron,tools,"Electric soldering iron for electronics wiring and circuit board work. Standard tip for general soldering tasks.",45,16,100
C16-40-97 46-Piece Socket Tool Set,tools,"46-piece socket and screwdriver bit set for mechanical and DIY work. Includes metric and standard sockets with ratchet.",130,46,24
C15-40-100 Professional Fold Tool Set,tools,"Professional folding multi-tool set with comprehensive socket screwdriver and wrench collection. Full kit for trade use.",1820,650,1
C15-40-69 3-Piece Adjustable Wrench Set,tools,"3-piece adjustable spanner set in graduated sizes. Chrome-vanadium steel for strong grip on nuts and bolts.",250,88,24
C16-40-38 4x200mm Black Cable Ties Pack,tools,"Pack of black 4x200mm nylon cable ties for bundling wires and cables. UV-resistant and strong locking head.",17,6,300
C15-40-39 4x300mm Black Cable Ties Pack,tools,"Pack of black 4x300mm nylon cable ties for larger wire and cable bundles. UV-resistant with strong locking mechanism.",25,8.5,200
C16-40-101 4x400mm Black Cable Ties Pack,tools,"Pack of black 4x400mm heavy-duty nylon cable ties. UV-resistant for indoor and outdoor wire management.",35,12,150
C16-40-102 4x500mm Black Cable Ties Pack,tools,"Pack of black 4x500mm extra-long nylon cable ties for large bundles and heavy-duty applications.",45,16,120
C16-40-103 115-Piece Screwdriver Set,tools,"115-piece screwdriver and bit set with Phillips flathead Torx and hex bits. Includes extension bar and socket adapters.",120,42,50
C15-36-5 Baglock Dik Arc-Shell Padlock 12-Pack,tools,"12-piece arc-shell padlock set in blister card. Standard shackle with key for home storage and light security.",170,62,20
C15-36-28 60mm Zhoushi Gold Padlock,tools,"60mm gold-finish padlock with key. Standard shackle suitable for gates sheds luggage and light security.",40,15,72
C15-36-35 50mm Dikas D60 Silver Padlock,tools,"50mm silver Dikas D60 padlock with hardened shackle. Suitable for gates storage units and medium-security applications.",85,30,72
C15-36-36 60mm Dikas D60 Silver Padlock,tools,"60mm silver Dikas D60 padlock with hardened shackle for stronger security. Suitable for gates and storage facilities.",90,33,72
C15-36-37 70mm Dikas D70 Silver Padlock,tools,"70mm heavy-duty silver Dikas D70 padlock with reinforced shackle for high-security outdoor applications.",110,38,72
